"Data used to generate the results reported herein. ""N.species"" is the number of species extant at a pseudolevel (age); the value for speciation includes the originating species but not the extinguishing species and, conversely, the value for extinction includes the extinguishing species but excludes the originators. Species turnover, used for spectral analysis, is simply the sum of the relevant speciation and extinction state probabilites. ﻿Raw speciation and species extinction probabilities calculated at each pseudolevel as the number of speciations or extinctions divided by the number of species extant. ﻿Raw species turnover probability calculated as the sum of raw speciation and raw extinction probability",,,,,,,,,
age,N.speciations,N.extinctions,N.turnover,N.species.speciation,N.species.extinction,raw.speciation.probability,raw.extinction.probability,raw.turnover.probability,mean.population.age.per.pseudolevel
30.05,0,0,0,28,28,0,0,0,6.241
30.15,0,0,0,28,28,0,0,0,6.141
30.25,1,7,8,28,34,0.036,0.206,0.242,6.041
30.35,0,0,0,34,34,0,0,0,6.658
30.45,1,0,1,34,33,0.029,0,0.029,6.558
30.55,1,0,1,33,32,0.030,0,0.030,6.656
30.65,2,0,2,32,30,0.063,0,0.063,6.762
30.75,0,0,0,30,30,0,0,0,7.108
30.85,0,0,0,30,30,0,0,0,7.008
30.95,0,0,0,30,30,0,0,0,6.908
31.05,0,0,0,30,30,0,0,0,6.808
31.15,0,0,0,30,30,0,0,0,6.708
31.25,2,0,2,30,28,0.067,0,0.067,6.608
31.35,0,0,0,28,28,0,0,0,6.973
31.45,0,0,0,28,28,0,0,0,6.873
31.55,0,0,0,28,28,0,0,0,6.773
31.65,0,0,0,28,28,0,0,0,6.673
31.75,0,0,0,28,28,0,0,0,6.573
31.85,0,1,1,28,29,0,0.034,0.034,6.473
31.95,0,0,0,29,29,0,0,0,6.529
32.05,0,0,0,29,29,0,0,0,6.429
32.15,1,1,2,29,29,0.034,0.034,0.069,6.329
32.25,0,1,1,29,30,0,0.033,0.033,6.359
32.35,0,2,2,30,32,0,0.063,0.063,6.526
32.45,0,0,0,32,32,0,0,0,7.061
32.55,0,0,0,32,32,0,0,0,6.961
32.65,1,0,1,32,31,0.031,0,0.031,6.861
32.75,1,1,2,31,31,0.032,0.032,0.065,6.981
32.85,0,0,0,31,31,0,0,0,6.934
32.95,0,0,0,31,31,0,0,0,6.834
33.05,0,1,1,31,32,0,0.031,0.031,6.734
33.15,0,0,0,32,32,0,0,0,6.459
33.25,0,0,0,32,32,0,0,0,6.359
