"age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability","mean.lifespan"
"232",23.05,1,1,2,54,54,0.0185185185185185,0.0185185185185185,0.037037037037037,12.1795185185185
"233",23.15,1,0,1,54,53,0.0185185185185185,0,0.0185185185185185,12.1096296296296
"234",23.25,2,0,2,53,51,0.0377358490566038,0,0.0377358490566038,12.2370754716981
"235",23.35,1,0,1,51,50,0.0196078431372549,0,0.0196078431372549,12.6144705882353
"236",23.45,0,0,0,50,50,0,0,0,12.7666
"237",23.55,0,0,0,50,50,0,0,0,12.6666
"238",23.65,0,0,0,50,50,0,0,0,12.5666
"239",23.75,0,0,0,50,50,0,0,0,12.4666
"240",23.85,0,0,0,50,50,0,0,0,12.3666
"241",23.95,0,0,0,50,50,0,0,0,12.2666
"242",24.05,0,0,0,50,50,0,0,0,12.1666
"243",24.15,0,0,0,50,50,0,0,0,12.0666
"244",24.25,1,2,3,50,51,0.02,0.0392156862745098,0.0592156862745098,11.9666
"245",24.35,1,1,2,51,51,0.0196078431372549,0.0196078431372549,0.0392156862745098,11.8811764705882
"246",24.45,2,1,3,51,50,0.0392156862745098,0.02,0.0592156862745098,11.8664901960784
"247",24.55,0,0,0,50,50,0,0,0,12.15566
"248",24.65,2,2,4,50,50,0.04,0.04,0.08,12.05566
"249",24.75,1,1,2,50,50,0.02,0.02,0.04,12.18052
"250",24.85,0,2,2,50,52,0,0.0384615384615385,0.0384615384615385,12.2263
"251",24.95,0,0,0,52,52,0,0,0,12.1982307692308
"252",25.05,1,2,3,52,53,0.0192307692307692,0.0377358490566038,0.056966618287373,12.0982307692308
"253",25.15,0,0,0,53,53,0,0,0,12.1911509433962
"254",25.25,0,0,0,53,53,0,0,0,12.0911509433962
"255",25.35,1,0,1,53,52,0.0188679245283019,0,0.0188679245283019,11.9911509433962
"256",25.45,0,0,0,52,52,0,0,0,12.1201346153846
"257",25.55,0,0,0,52,52,0,0,0,12.0201346153846
"258",25.65,0,0,0,52,52,0,0,0,11.9201346153846
"259",25.75,1,0,1,52,51,0.0192307692307692,0,0.0192307692307692,11.8201346153846
