"","age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","HMM.speciation.state","HMM.speciation.state.probability","HMM.extinction.state","HMM.extinction.state.probability","HMM.turnover.probability","raw.turnover.probability"
"78",7.69999999999999,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"79",7.79999999999999,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"80",7.89999999999999,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"81",7.99999999999999,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"82",8.09999999999999,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"83",8.19999999999999,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"84",8.29999999999999,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"85",8.39999999999999,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"86",8.49999999999999,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"87",8.59999999999999,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"88",8.69999999999999,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"89",8.79999999999999,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"90",8.89999999999998,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"91",8.99999999999999,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"92",9.09999999999998,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"93",9.19999999999999,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"94",9.29999999999998,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"95",9.39999999999998,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"96",9.49999999999998,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"97",9.59999999999998,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"98",9.69999999999998,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"99",9.79999999999998,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"100",9.89999999999998,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"101",9.99999999999998,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"102",10.1,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"103",10.2,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"104",10.3,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"105",10.4,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"106",10.5,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"107",10.6,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"108",10.7,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"109",10.8,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"110",10.9,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"111",11,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"112",11.1,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"113",11.2,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"114",11.3,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"115",11.4,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"116",11.5,0,0,0,729,729,0,0,3,3.70224524472115e-05,4,5.98912062592184e-38,3.70224524472115e-05,0
