"age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability","existing_n","mean.lifespan"
"230",22.85,0,0,0,54,54,0,0,0,54,34.94062
"231",22.95,1,1,2,54,54,0.0185185185185185,0.0185185185185185,0.037037037037037,54,34.94062
"232",23.05,1,1,2,54,54,0.0185185185185185,0.0185185185185185,0.037037037037037,54,34.96668
"233",23.15,1,0,1,54,53,0.0185185185185185,0,0.0185185185185185,54,34.9992
"234",23.25,2,0,2,53,51,0.0377358490566038,0,0.0377358490566038,53,35.2409183673469
"235",23.35,1,0,1,51,50,0.0196078431372549,0,0.0196078431372549,51,35.7505957446809
"236",23.45,0,0,0,50,50,0,0,0,50,36.0210869565217
"237",23.55,0,0,0,50,50,0,0,0,50,36.0210869565217
"238",23.65,0,0,0,50,50,0,0,0,50,36.0210869565217
"239",23.75,0,0,0,50,50,0,0,0,50,36.0210869565217
"240",23.85,0,0,0,50,50,0,0,0,50,36.0210869565217
"241",23.95,0,0,0,50,50,0,0,0,50,36.0210869565217
"242",24.05,0,0,0,50,50,0,0,0,50,36.0210869565217
"243",24.15,0,0,0,50,50,0,0,0,50,36.0210869565217
"244",24.25,1,2,3,50,51,0.02,0.0392156862745098,0.0592156862745098,50,36.0210869565217
"245",24.35,1,1,2,51,51,0.0196078431372549,0.0196078431372549,0.0392156862745098,51,36.04
"246",24.45,2,1,3,51,50,0.0392156862745098,0.02,0.0592156862745098,51,36.1325744680851
"247",24.55,0,0,0,50,50,0,0,0,50,36.5526739130435
"248",24.65,2,2,4,50,50,0.04,0.04,0.08,50,36.5526739130435
"249",24.75,1,1,2,50,50,0.02,0.02,0.04,50,36.7970869565217
"250",24.85,0,2,2,50,52,0,0.0384615384615385,0.0384615384615385,50,36.9555434782609
"251",24.95,0,0,0,52,52,0,0,0,52,37.0364166666667
"252",25.05,1,2,3,52,53,0.0192307692307692,0.0377358490566038,0.056966618287373,52,37.0364166666667
"253",25.15,0,0,0,53,53,0,0,0,53,37.2463469387755
"254",25.25,0,0,0,53,53,0,0,0,53,37.2463469387755
"255",25.35,1,0,1,53,52,0.0188679245283019,0,0.0188679245283019,53,37.2463469387755
"256",25.45,0,0,0,52,52,0,0,0,52,37.4934791666667
"257",25.55,0,0,0,52,52,0,0,0,52,37.4934791666667
"258",25.65,0,0,0,52,52,0,0,0,52,37.4934791666667
"259",25.75,1,0,1,52,51,0.0192307692307692,0,0.0192307692307692,52,37.4934791666667
"260",25.85,0,0,0,51,51,0,0,0,51,37.7441063829787
"261",25.95,0,0,0,51,51,0,0,0,51,37.7441063829787
"262",26.05,0,0,0,51,51,0,0,0,51,37.7441063829787
"263",26.15,1,1,2,51,51,0.0196078431372549,0.0196078431372549,0.0392156862745098,51,37.7441063829787
"264",26.25,0,0,0,51,51,0,0,0,51,37.868914893617
"265",26.35,0,0,0,51,51,0,0,0,51,37.868914893617
"266",26.45,0,0,0,51,51,0,0,0,51,37.868914893617
"267",26.55,1,0,1,51,50,0.0196078431372549,0,0.0196078431372549,51,37.868914893617
"268",26.65,0,0,0,50,50,0,0,0,50,38.1141739130435
"269",26.75,0,0,0,50,50,0,0,0,50,38.1141739130435
"270",26.85,1,0,1,50,49,0.02,0,0.02,50,38.1141739130435
"271",26.95,0,0,0,49,49,0,0,0,49,38.3647111111111
"272",27.05,0,0,0,49,49,0,0,0,49,38.3647111111111
"273",27.15,0,0,0,49,49,0,0,0,49,38.3647111111111
"274",27.25,0,1,1,49,50,0,0.02,0.02,49,38.3647111111111
"275",27.35,0,1,1,50,51,0,0.0196078431372549,0.0196078431372549,50,38.2267826086957
"276",27.45,0,0,0,51,51,0,0,0,51,38.3255744680851
"277",27.55,1,0,1,51,50,0.0196078431372549,0,0.0196078431372549,51,38.3255744680851
"278",27.65,0,0,0,50,50,0,0,0,50,38.5603260869565
"279",27.75,0,0,0,50,50,0,0,0,50,38.5603260869565
"280",27.85,1,0,1,50,49,0.02,0,0.02,50,38.5603260869565
"281",27.95,0,0,0,49,49,0,0,0,49,38.7992666666667
"282",28.05,0,2,2,49,51,0,0.0392156862745098,0.0392156862745098,49,38.7992666666667
"283",28.15,1,0,1,51,50,0.0196078431372549,0,0.0196078431372549,51,39.2856808510638
"284",28.25,0,0,0,50,50,0,0,0,50,39.5274130434783
"285",28.35,0,0,0,50,50,0,0,0,50,39.5274130434783
"286",28.45,0,1,1,50,51,0,0.0196078431372549,0.0196078431372549,50,39.5274130434783
"287",28.55,2,0,2,51,49,0.0392156862745098,0,0.0392156862745098,51,39.3676808510638
"288",28.65,2,1,3,49,48,0.0408163265306122,0.0208333333333333,0.0616496598639456,49,39.8475777777778
"289",28.75,0,0,0,48,48,0,0,0,48,40.2327954545455
"290",28.85,0,0,0,48,48,0,0,0,48,40.2327954545455
"291",28.95,3,0,3,48,45,0.0625,0,0.0625,48,40.2327954545455
"292",29.05,0,0,0,45,45,0,0,0,45,41.0578292682927
"293",29.15,1,0,1,45,44,0.0222222222222222,0,0.0222222222222222,45,41.0578292682927
"294",29.25,0,1,1,44,45,0,0.0222222222222222,0.0222222222222222,44,41.355
"295",29.35,0,0,0,45,45,0,0,0,45,41.1863414634146
"296",29.45,0,0,0,45,45,0,0,0,45,41.1863414634146
"297",29.55,0,0,0,45,45,0,0,0,45,41.1863414634146
"298",29.65,1,0,1,45,44,0.0222222222222222,0,0.0222222222222222,45,41.1863414634146
"299",29.75,0,0,0,44,44,0,0,0,44,41.4755
"300",29.85,0,0,0,44,44,0,0,0,44,41.4755
"301",29.95,0,0,0,44,44,0,0,0,44,41.4755
"302",30.05,0,0,0,44,44,0,0,0,44,41.4755
"303",30.15,0,0,0,44,44,0,0,0,44,41.4755
"304",30.25,0,0,0,44,44,0,0,0,44,41.4755
"305",30.35,0,0,0,44,44,0,0,0,44,41.4755
"306",30.45,0,1,1,44,45,0,0.0222222222222222,0.0222222222222222,44,41.4755
"307",30.55,0,0,0,45,45,0,0,0,45,41.7736585365854
"308",30.65,0,0,0,45,45,0,0,0,45,41.7736585365854
"309",30.75,0,0,0,45,45,0,0,0,45,41.7736585365854
"310",30.85,0,0,0,45,45,0,0,0,45,41.7736585365854
"311",30.95,0,0,0,45,45,0,0,0,45,41.7736585365854
"312",31.05,0,0,0,45,45,0,0,0,45,41.7736585365854
"313",31.15,0,0,0,45,45,0,0,0,45,41.7736585365854
"314",31.25,0,0,0,45,45,0,0,0,45,41.7736585365854
"315",31.35,0,0,0,45,45,0,0,0,45,41.7736585365854
"316",31.45,0,0,0,45,45,0,0,0,45,41.7736585365854
"317",31.55,0,0,0,45,45,0,0,0,45,41.7736585365854
"318",31.65,0,0,0,45,45,0,0,0,45,41.7736585365854
"319",31.75,0,0,0,45,45,0,0,0,45,41.7736585365854
"320",31.85,0,0,0,45,45,0,0,0,45,41.7736585365854
"321",31.95,0,0,0,45,45,0,0,0,45,41.7736585365854
"322",32.05,9,0,9,45,36,0.2,0,0.2,45,41.7736585365854
"323",32.15,0,0,0,36,36,0,0,0,36,44.5175
"324",32.25,0,0,0,36,36,0,0,0,36,44.5175
"325",32.35,0,0,0,36,36,0,0,0,36,44.5175
"326",32.45,0,0,0,36,36,0,0,0,36,44.5175
"327",32.55,0,0,0,36,36,0,0,0,36,44.5175
"328",32.65,0,0,0,36,36,0,0,0,36,44.5175
"329",32.75,0,0,0,36,36,0,0,0,36,44.5175
"330",32.85,0,0,0,36,36,0,0,0,36,44.5175
"331",32.95,4,0,4,36,32,0.111111111111111,0,0.111111111111111,36,44.5175
"332",33.05,0,0,0,32,32,0,0,0,32,46.1742857142857
"333",33.15,0,0,0,32,32,0,0,0,32,46.1742857142857
"334",33.25,0,0,0,32,32,0,0,0,32,46.1742857142857
