"age","oxy_18"
6.3984,2.32
6.4235,2.18
6.4379,2.37
6.4628,2.19
6.4926,2.33
6.5068,2.27
6.5378,2.03
6.5628,2.22
6.5774,2.27
6.6164,2.14
6.6451,2.3
6.6623,2.35
6.6764,2.34
6.6906,2.2
6.7061,2.33
6.733,2.23
6.7466,2.21
6.7589,2.29
6.7754,2.21
6.8027,2.26
6.8178,2.25
6.829,2.24
6.8418,2.46
6.8602,2.31
6.8941,2.25
6.9149,2.16
6.928,2.34
6.945,2.28
6.973,2.3
6.9999,2.23
7.0298,2.43
7.0383,2.04
7.0637,2.36
7.0891,2.28
7.1146,2.34
7.14,2.22
7.1566,2.41
7.1709,2.31
7.1899,2.31
7.2065,2.29
7.2234,2.38
7.2328,2.3
7.247,2.28
7.2612,2.29
7.2752,2.29
7.2861,2.4
7.2943,2.38
7.3226,2.23
7.3542,2.33
7.4332,2.42
7.4806,2.31
7.5218,2.46
7.5423,2.41
7.5715,2.47
7.6052,2.39
7.642,2.33
7.6575,2.43
7.6723,2.25
7.6874,2.22
7.7142,2.3
7.7718,2.23
7.8295,2.32
7.8679,2.17
7.9159,2.17
7.9543,2.42
8.0216,2.37
8.0918,2.2
8.1289,2.33
8.1914,2.36
8.2575,2.36
8.2923,2.26
8.3315,2.32
8.3804,2.23
8.4156,2.3
8.4376,2.32
8.4723,2.25
8.5489,2.23
8.602,2.22
8.664,2.38
8.7133,2.32
8.7796,2.25
8.8115,2.38
8.8539,2.33
8.907,2.44
8.96,2.21
9.0008,2.35
9.0271,2.19
9.0535,2.27
9.0848,2.31
9.1087,2.19
9.1571,2.23
9.194,2.23
9.2264,2.22
9.2619,2.19
9.3013,2.2
9.3336,2.3
9.363,2.27
9.3874,2.22
9.4178,2.32
9.4414,2.2
9.4659,2.21
9.4966,2.22
9.5384,2.06
9.5629,2.35
9.609,2.24
9.6442,2.06
9.6696,2.16
9.6938,2.25
9.7222,2.09
9.7428,2.01
9.7687,2.07
9.7874,2.14
9.8547,2.16
9.9303,2.23
9.9976,2.22
10.0312,2.13
10.0901,2.06
10.1489,2.1
10.1836,2.15
10.2246,2.19
10.266,2.14
10.2968,2.43
10.3254,2.27
10.3507,2.26
10.3843,2.35
10.4263,2.33
10.4684,2.42
10.502,2.29
10.544,2.26
10.5692,2.12
10.6296,2.18
10.6701,2.12
10.7314,2.28
10.8382,2.24
10.8887,2.25
10.9223,2.19
10.9896,2.08
11.0383,2.11
11.0705,2.29
11.0983,2.07
11.1115,2.11
11.1252,2.02
11.1425,2.16
11.1631,2.1
11.1813,2.12
11.2086,2.09
11.2358,2.29
11.278,2.2
11.3089,2.07
11.3358,2.15
11.362,2.04
11.3768,2.13
11.4065,2.11
11.4358,2.18
11.4725,2.39
11.4999,2.34
11.5449,2.14
11.5682,2.22
11.5813,2.18
11.6107,2.21
11.6401,2.12
11.6749,2.25
11.701,2.15
11.7184,2.22
11.7444,2.13
11.7705,2.24
11.7893,2.18
11.811,2.3
11.8314,2.22
11.8575,2.21
11.8749,2.1
11.8902,2.34
11.9097,2.13
11.9298,2.37
11.9618,2.16
11.9792,2.25
11.9957,2.19
12.0197,1.92
12.0367,2.14
12.048,1.94
12.0696,1.91
12.0775,2.11
12.091,2.11
12.1025,2.1
12.116,2.02
12.13,2.33
12.1468,2.15
12.172,2.18
12.2049,2.21
12.2463,2.09
12.295,2.14
12.303,2.35
12.3626,2.27
12.393,2.25
12.4243,2.28
12.4521,2.18
12.4799,2.04
12.4984,2.16
12.5354,2.08
12.5632,2.1
12.5879,2.01
12.6281,1.99
12.6726,1.97
12.6913,2.06
12.7022,2.13
12.7175,2.1
12.7417,2.08
12.765,2.1
12.774,2.28
12.788,2.22
12.7956,2.11
12.8118,2.16
12.8266,2.18
12.849,2.13
12.8606,1.95
12.8767,2.11
12.8845,2.02
12.8911,2.06
12.9041,2.1
12.9138,2.15
12.921,2.19
12.9302,2.08
12.9385,2.07
12.9476,2.04
12.9563,2.08
12.9628,1.93
12.972,1.88
12.981,1.92
12.9863,2.13
12.9951,1.98
12.9996,1.97
13.007,1.94
13.0085,2.17
13.0161,2.06
13.0298,1.95
13.0371,1.9
13.0523,1.93
13.065,2.16
13.0803,2.12
13.099,1.98
13.1363,1.9
13.1569,1.89
13.183,1.92
13.1944,1.5
13.2222,1.84
13.2417,1.79
13.2629,1.62
13.2903,1.59
13.3097,1.84
13.3201,1.82
13.3494,2.02
13.3758,1.94
13.3962,1.99
13.4235,1.8
13.4416,1.87
13.4564,2.02
13.4778,1.89
13.4961,2.03
13.5233,1.96
13.5615,1.92
13.5869,2.03
13.6072,2
13.6218,2.1
13.633,1.95
13.6388,2.01
13.6499,2.08
13.6667,2.03
13.6812,2.02
13.6891,2.07
13.7041,1.79
13.7172,1.84
13.7305,1.96
13.7456,1.75
13.7688,1.74
13.7814,1.81
13.8081,1.91
13.8085,1.93
13.8095,1.82
13.8104,1.82
13.8143,1.82
13.8158,1.89
13.8173,1.83
13.824,1.83
13.8543,1.8
13.8821,1.72
13.9024,1.65
13.9284,1.42
13.9469,1.54
13.974,1.7
14.0098,1.52
14.0326,1.35
14.0815,1.69
14.1096,1.59
14.1329,1.69
14.1736,1.64
14.1942,1.51
14.2216,1.62
14.2529,1.56
14.2833,1.53
14.3206,1.6
14.3539,1.54
14.4062,1.58
14.4321,1.61
14.4843,1.48
14.5239,1.31
14.5474,1.35
14.5994,1.4
14.6293,1.5
14.6665,1.44
14.6793,1.34
14.7117,1.37
14.743,1.47
14.7754,1.41
14.8083,1.42
14.8379,1.29
14.8667,1.29
14.8897,1.37
14.9135,1.49
14.9366,1.38
14.963,1.52
14.9864,1.36
15.0138,1.22
15.0331,1.32
15.0503,1.29
15.0777,1.46
15.1113,1.29
15.1417,1.23
15.1857,1.21
15.2114,1.23
15.2371,1.27
15.2628,1.29
15.28,1.32
15.2971,1.33
15.3142,1.16
15.3314,1.09
15.3485,1.39
15.3742,1.31
15.3914,1.18
15.4085,1.48
15.4331,1.43
15.4585,1.3
15.477,1.43
15.4942,1.29
15.5144,1.34
15.5328,1.38
15.5542,1.24
15.5713,1.49
15.5912,1.55
15.613,1.35
15.63,1.29
15.6484,1.35
15.6655,1.46
15.6912,1.51
15.7058,1.36
15.7269,1.4
15.748,1.29
15.7855,1.34
15.8295,1.21
15.8782,1.45
15.9055,1.43
15.9226,1.47
15.9484,1.31
15.9693,1.46
15.9919,1.44
16.0154,1.34
16.0341,1.45
16.0615,1.45
16.0896,1.34
16.1014,1.4
16.1197,1.34
16.14,1.55
16.1553,1.25
16.187,1.45
16.2016,1.31
16.2248,1.27
16.2406,1.31
16.268,1.32
