format version:	1.2
date:	12/6/2012

ACTINOPODA	:	ACANTHARIA (Tintinnia; skeletal rods made of strintium sulfate)	RADIOLARIA (intricate mineral skeletons with inner and outer portion)	_METACOLUMN_OFF

ACANTHARIA (Tintinnia; skeletal rods made of strintium sulfate)	:	Order unnamed ACANTHARIA 

Order unnamed ACANTHARIA 	event					[For details click <a href="http://tolweb.org/notes/?note_id=52">Order unnamed ACANTHARIA </a>]. Order not named. 
FAD
	Astrolithium	23.03
	Chiastolus	55.96
LAD
	Astrolithium, Chiastolus	0.00


RADIOLARIA (intricate mineral skeletons with inner and outer portion)	:	NASSELLARIA (non-spherical internal skeleton with spines and connecting bars)	SPUMELLARIA (colonial, simple central capsule, no initial spicule)	ACTINOPODA - INCERTAE SEDIS	_METACOLUMN_ON

NASSELLARIA (non-spherical internal skeleton with spines and connecting bars)	event				on	[For details click <a href="http://tolweb.org/notes/?note_id=51">NASSELLARIA (non-spherical internal skeleton with spines and connecting bars)</a>]. 
FAD
	Acaeniotyle, Archaeohagiastrum, Archaeospongoprinum, Halesium, Patulibracchium	165.21
	Staurosphaera, Stylosphaera	166.07
	Emiluvia	166.49
	Pacyoncus	169.45
	Angulobracchia	170.30
	Hexasaturnalis	174.15
	Tetratrabs	182.70
	Bistarkum, Parasaturnalis, Pseudocrucella, Pseudopantanellium, Tetraditryma, Trillus, Xiphostylus	186.76
	Zartus	190.82
	Higumastra, Tritrabs	199.30
	Amphistylus, Crucella, Doryconthidium, Druppatractus, Ellipsoxiphus, Phyletripes, Praeconocaryomma, Saturnalis, Sphaeropyle, Spongasteriscus, Spongostaurus, Stylodictya, Tetrapylonium, Trigonocyclia, Tympaneides, Xiphodictya	201.30
	Ferresium	213.97
	Betraccium, Cantalum, Natraglia, Pseudohagiastrum, Pseudoheliodiscus	217.42
	Austrisaturnalis, Catoma ,Conosphaera, Hagiastrum, Heliosaturnalis, Justium, Loffa, Orbiculiforma, Spongosaturnaloides, Xenorum	228.35
	Capnodoce, Capnuchosphaera, Icrioma, Renzium, Staurodoras, Veghicyclia	233.50
	Acanthopyle, Gorgansium, Homoeoparonaella, Japonisaturnalis, Kahlerosphaera, Pantanellium, Porodiscus, Sarla, Sontonaella, Spongosaturnalis, Tripoclyclia	228.00
	Pseudostylosphaera, Stauracontium	239.10
	Cenosphaera, Oertlispongus, Pentactinocapus, Plafkerium, Tiborella, Triactoma	241.50
	Hexastylus	247.06
	Archaeosemantis, Dictyocoryne, Diplactura, Melittosphaera, Spongophacus, Triactis, Trigonactura	252.16
	Flustrella	254.20
	Copicyntroides, Deflandrella, Ishigaconus, Ishigaum, Triplanospongos	265.14
	Follicucullus, Formanhelena, Halidictyum, Hegleria, Kashiwara, Neoalbaillella, Ormistonella, Parentactinia, Pseudotormentus, Uberinterna	268.80
	Tetracircinata	278.81
	Nazarovella, Octatormentum, Praedeflandrella, Rectotormentum, Ruzhencevispongus	282.01
	Parafollicucullus	295.53
	Campanulithus, Polyfistula	298.88
	Arrectoalatus, Camptoalatus, Copicyntra, Haplodiacanthus, Latentidiota, Quadriremis, Quinqueremis, Tetratormentum	305.12
	Pseudoalbaillella	319.20
	Brianellium	323.23
	Archaeopyramisa, Caspiaza, Copiellintra, Ouaka, Triactofenestrella, Trilacertus	330.92
	Circulaforma	338.83
	Belowea, Eostylodictya, Heliodiscus, Latentifistula, Meschedea, Rhopalodictyum (Paronaella), Sethostaurus, Tormentum	346.73
	Tetragregnon	352.84
	Allocyrtium, Lapidopiscum, Palacantholithus, Provisocyntra, Spironium, Stigmosphaerostylus, Tuscaritellum, Xiphachistrella, Xiphocabrium, Xiphocladiella	358.94
	Cerarchocyrtium, Cyrtiphaeronemium, Deflandrellium, Huasha, Kantollum, Mostlerium, Protoalbaillella ,Pylentonema, Quadrapesus, Robotium, Triaenosphaera	363.46
	Albaillella, Corythoecia, Cyrtisphaeractenium ,Holoeciscus ,Palaeothalomnus, Pleuristratoentactinia, Popofskyellum, Staurodruppa, Tetrentactinia	372.24
	Arrchinella, Cyrtentactinia, Helenifore, Palaeorubus, Somphaentactinia, Spongentactinella	382.69
	Spongodiscus	387.72
	Astroentactinia	393.25
	Caryosphaera, Spongocoelia, Stigmosphaera, Trilonche	419.20
	Inanihella, Oriundogutta	427.36
	Ceratoikiscum	433.35
	Diparvapila, Palaeodecaradium, Palaeopyramidium, Parvalanapila, Rotasphaera	438.49
	Archocyrtium	443.83
	Inanibigutta	448.84
	Secuicollacta, Spongentactinia	451.28
	Bissulentactinia, Dorydictyum, Doryplegma, Dorysphaera, Entactinosphaera, Haliomma, Kalimnasphaera, Palaeoephippium, Palaeoscenidium, Palaeotripus	458.36
	Anakrusa, Auliela, Cessipylorum, Inanigutta	460.45
	Haplentactinia, Proventocitum	477.72
	Diploplegma, Stauroplegma, Syntagentactinia	485.37
	Helioentactinia	510.25
	Entactinia, Polyentactinia	518.55
LAD
	Acanthosphaera, Acrosphaera, Actinomma, Amphicyclia, Amphimenium, Amphisphaera, Amphistylus, Artiscus, Astractura, Astrocyclia, Astromma, Astrophacus, Astrosestrum, Axoprunum, Cannartidium, Cannartiscus, Caryosphaera, Cenellipsis, Cenodiscus, Cenosphaera, Chitonastrum, Coccocyclia, Coccodiscus, Coccolarcus, Conosphaera, Cromyodruppa, Cromyomma, Cyclastrum, Dicranastrum, Dictyastrum, Dictyocoryne, Diplactura, Diploplegma, Disolenia, Distriactis, Druppatractus, Druppocarpus, Druppula, Echinomma, Ellipsidium, Ellipsostylus, Ellipsoxiphus, Euchitonia, Flustrella, Haliomma, Heliocladus, Heliodiscus, Heliosoma, Heliosphaera, Hexacontium, Hexacromyum, Hexalonche, Hexaloncharium, Hexastylarium, Hexastylus, Histiastrum, Hymenactura, Hymeniastrum, Larcidium, Larcopyle, Larcospira, Larnacalpis, Larnacantha, Liosphaera, Lithapium, Lithatractus, Lithelius, Lithocyclia, Lithomespilus, Melittosphaera, Myelastrum, Ommatartus, Ommatocampe, Ommatodiscus, Ommatospyris, Orostaurs, Pentactura, Pentalastrum, Perichlamydium, Periphaena, Phacodiscus, Phacostylus, Phorticum, Pipetta, Pipettaria, Plegmosphaera, Polysolenia, Porodiscus, Prunocarpus, Prunopyle, Rhizoplegma, Rhodosphaera, Rhopalastrum, Rhopalodictyum (Paronaella), Saturnalis, Sethodiscinus, Sethostaurus, Sethostylus, Siphonosphaera, Sphaeropyle, Sphaerostylus, Sphaerozoum, Spironium, Spongaster, Spongasteriscus, Spongobrachium, Spongocore, Spongodiscus, Spongolena, Spongolonche, Spongophacus, Spongoplegma, Spongoprunum, Spongopyle, Spongostaurus, Spongotripus, Spongotrochus, Spongoxiphus, Spongurus, Stauralastrum, Staurocromyum, Staurocyclia, Staurodictya, Staurodoras, Staurosphaera, Staurostylus, Stephanastrum, Stigmosphaera, Stomatodiscus, Stylatractus, Stylochlamydium, Stylocyclia, Stylodictya, Stylosphaera, Stylospongia, Stylostaurus, Styptosphaera, Tessarastrum, Tetrapyle, Tetrapylonium, Thalassicola, Thecosphaera, Theodiscus, Tholonium, Triactis, Trigonocyclia, Trochodiscus, Xiphatractus, Xiphodictya, Xiphosphaera, Zonodiscus	0.00
	Callosphaera, Trisolenia	0.01
	Cenolarcopyle	2.59
	Solenosphaera	3.60
	Cromyodruppocarpus, Cromyostaurolonche, Doryconthidium, Dorydiscus, Dorydruppa, Dorylonchidium, Doryphacus, Dorysphaera, Druppastylus, Hexacladus, Staurancistra	5.33
	Diartus	7.25
	Cannartus	11.63
	Heliostylus	23.03
	Trigonactura	28.09
	Astrococcus, Caucasicus, Conocaryomma, Dicoccura, Heterosestrum, Phacotriactis, Staurococcura	33.89
	Coccolarnacium, Cryptolarancium	37.75
	Spongatractus	41.15
	Entapium	47.84
	Spongosaturnalis	57.60
	Palaeotetraphyle	61.61
	Archaeospongoprinum, Dactyliosphaera, Dorydictyum, Hexadoras, Hexasaturnalis, Orbiculiforma, Patulibracchium, Pseudoaulophacus, Pseudosaturnalis, Spongoacanthus	66.04
	Crucella, Kreyzstella, Phaseliforma, Praestylosphaera, Pseudocrucella, Saturniforma	72.05
	Acaeniotyle, Cavaspongia, Hagiastrum, Parvicuspis, Praeconocaryomma, Protoxiphotractus	78.10
	Halesium, Pyramispongia	91.84
	Cenodiscaella, Pyloctostylus, Quinquecapsularia	93.90
	Amphibrachium, Higumastra, Staurolonche, Triactoma, Tripoclyclia	100.50
	Angulobracchia, Dicroa, Ditrabs, Foremanella, Homoeoparonaella, Pantanellium	112.95
	Cecrops	126.30
	Diactoma, Didactylum, Tritrabs	126.30
	Emiluvia, Tetrarectangulum	133.88
	Archaeotritrabs, Nodotetraedra	136.41
	Gorgansium, Tetratrabs	139.39
	Acanthopyle, Archaeohagiastrum, Bivallupus, Mesovallupus, Neovallupus, Pentasphaera, Protovallupus, Rustia, Supervallupus, Tetraditryma, Vallupus, Xiphostaurus, Xiphostylus	145.01
	Pacyoncus	166.07
	Cantalum, Trillus, Zartus	168.28
	Phyletripes, Tympaneides	174.15
	Bistarkum, Parasaturnalis, Pseudopantanellium, Sontonaella	178.42
	Pseudoheliodiscus	182.70
	Archaeosemantis, Austrisaturnalis, Betraccium, Capnodoce, Capnuchosphaera, Ferresium, Heliosaturnalis, Japonisaturnalis, Justium, Kahlerosphaera, Loffa, Plafkerium, Pseudohagiastrum, Pseudostylosphaera, Sarla, Spongosaturnaloides, Trilonche	209.46
	Catoma, Icrioma, Natraglia, Renzium, Veghicyclia, Xenorum	213.97
	Oertlispongus, Parentactinia, Pentactinocapus, Stauracontium	228.35
	Tiborella	233.50
	Halidictyum	247.06
	Campanulithus, Neoalbaillella, Quinqueremis, Uberinterna	252.16
	Albaillella, Follicucullus, Ishigaconus, Tetragregnon, Triplanospongos	254.20
	Copicyntra, Copicyntroides, Deflandrella, Entactinia, Entactinosphaera, Formanhelena, Hegleria, Ishigaum, Kashiwara, Latentifistula, Nazarovella, Octatormentum, Ormistonella, Pseudotormentus, Quadriremis, Ruzhencevispongus, Stauroplegma, Tormentum	259.81
